Country,Company Name,2017,2018,2019,2020,2021,2022
Bulgaria,Bulgarian Energy Holding,3.2[119][cj],4.2[119][ck],4.1[122][cl],3.6[122][cm],6.8[125][cn],10.8[127][co]
Canada,AltaGas,1.9[129][cp],3.2[131][cq],4.1[131][cr],4.1[134][cs],8.4[134][ct],10.8[137][cu]
Canada,ARC Resources,0.8[139][cv],1.0[140][cw],0.9[140][cx],0.8[141][cy],4.0[141][cz],6.6[142][da]
Canada,Brookfield Infrastructure Partners,0.0[144][db],0.3[145],1.2[146],0.2[147],1.1[148],14.4[149]
Canada,Canadian Natural Resources,14.1[150][dc],17.1[150][dd],18.3[153][de],13.0[153][df],26.2[153][dg],32.5[157][dh]
Canada,Crescent Point Energy,2.5[159][di],2.9[159][dj],2.5[160][dk],1.2[160][dl],2.5[160][dm],3.4[161][dn]
Canada,Cenovus Energy,13.3[162][do],16.5[162][dp],16.3[165][dq],10.3[165][dr],38.9[165][ds],55.1[169][dt]
Canada,Enbridge,34.2[171][du],35.7[171][dv],37.7[174][dw],29.1[174][dx],37.5[174][dy],40.9[178][dz]
Canada,Enerplus,0.7[180][ea],1.0[180][eb],0.8[180][ec],0.6[184],1.2[184],2.1[184]
Canada,Frontera Energy,0.9[185][ed],1.0[186][ee],1.0[186][ef],0.4[187][eg],0.7[187][eh],1.2[188]
Canada,Gibson Energy,4.3[189][ei],5.2[189][ej],5.5[189][ek],3.6[193][el],5.7[193][em],8.4[196][en]
Canada,Inter Pipeline,2.2[197],2.6[198],2.5[198],1.7[199][eo],2.3[199][ep],[eq]
Canada,Keyera,0.3[204][er],0.3[206][es],0.3[206][et],1.6[209][eu],3.3[209][ev],5.4[212][ew]
Canada,MEG Energy,1.9[213][ex],1.8[214][ey],2.2[214][ez],1.6[215][fa],3.4[215][fb],4.7[216][fc]
Canada,Paramount Resources,0.3[218][fd],0.6[218][fe],0.6[219][ff],0.4[219][fg],1.1[219][fh],1.6[220][fi]
Canada,Pembina Pipeline,5.4[222],7.3[223],7.2[223],5.9[224],8.6[224],8.9[225][fj]
Canada,Suncor Energy,25.3[227][fk],30.5[227][fl],30.0[228][fm],18.5[228][fn],32.7[228][fo],44.9[229][fp]
Canada,Tourmaline Oil,1.2[230][fq],1.6[231][fr],1.5[231][fs],1.6[232][ft],3.4[232][fu],6.7[233][fv]
Canada,TC Energy,10.3[235][fw],10.5[235][fx],9.9[236][fy],9.6[236][fz],10.6[236][ga],11.5[237][gb]
Canada,Vermilion Energy,0.7[239][gc],1.1[240][gd],1.3[240][ge],0.8[241][gf],1.6[241][gg],2.6[242][gh]
Canada,Whitecap Resources,0.7[243][gi],1.1[244][gj],1.0[244][gk],0.6[245][gl],2.1[245][gm],3.6[246][gn]
Chile,Empresas Copec,20.3[247],23.9[248],23.7[248],18.0[249],24.7[249],30.7[250]
Chile,Empresa Nacional del Petróleo,6.4[251],8.3[252],7.6[252],4.8[253],7.6[253],12.3[254]
China,China National Offshore Oil,27.5[255][go],34.3[255][gp],32.4[258][gq],22.5[258][gr],38.1[261][gs],62.7[263][gt]
China,China Suntien Green Energy,1.0[265][gu],1.5[265][gv],1.6[266][gw],1.8[267][gx],2.4[267][gy],2.7[268][gz]
China,COSCO Shipping Energy,1.4[269][ha],1.8[271][hb],1.9[271][hc],2.3[272][hd],1.9[272][he],2.71.9[273][hf]
China,China National Petroleum Corporation,346.3[274][hg],414.6[275][hh],386.0[275][hi],302.6[275][hj],435.1[276][hk],
China,Sinopec (China Petrochemical),349.3[278][hl],437.7[280][hm],429.5[280][hn],305.2[283][ho],424.8[283][hp],478.5[286][hq]
China,Guanghui Energy,7.9[288],12.6[288],13.7[288],14.9[288],24.3[288],58.6[288]
Colombia,Ecopetrol,16.7[289][hr],20.5[289][hs],21.4[292][ht],15.0[292][hu],27.5[295][hv],47.8[297][hw]
Croatia,INA d.d.,2.8[299][hx],3.7[301][hy],3.5[303][hz],2.3[303][ia],3.5[306][ib],4.9[308][ic]
Czech Republic,Moravské naftové doly (MND),,3.2[310][id],3.0[310][ie],2.0[313][if],5.4[313][ig],9.0[316][ih]
Ecuador,Petroecuador,9.5[318],11.6[318],11.8[318],9.9[319][ii],12.1[319],
Finland,Neste,14.9[322][ij],17.6[324][ik],17.7[324][il],13.4[327][im],17.9[327][in],27.0[330][io]
France,Engie,59.6[332],57.0[333],60.1[334],44.3[335][ip],57.9[335],98.9[336][iq]
France,Schlumberger,21.9[338],24.2[338],32.9[339],23.6[339],22.9[339],28.0[340]
France,TechnipFMC,17.0[341][ir],14.8[342][is],15.0[343][it],7.4[344][iu],7.5[344][iv],6.7[345]
France,TotalEnergies SE,171.4[346],209.3[347],200.3[347],140.6[348],205.8[349],285.8[350]
Germany,Wintershall Dea,,,4.3[351][iw][ix],4.4[352][iy],9.6[352][iz],19.8[357][ja]
Greece,Hellenic Petroleum,9.0[359][jb],11.5[361][jc],9.9[363][jd],6.6[365][je],10.9[365][jf],15.2[368][jg]
Greece,Motor Oil Hellas,8.8[370][jh],11.2[371][ji],10.4[372][jj],6.9[372][jk],12.1[373][jl],17.5[375][jm]
Hungary,MOL,15.3[377][jn],19.2[379][jo],18.0[381][jp],13.4[381][jq],19.7[384][jr],26.7[386][js]
